사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202605,2호선,신촌,73,5,8082,2771,15143,15492,35250,35585,52320,85379,44324,96250,46810,80397,55341,70911,66216,76291,71137,83013,73158,73348,82561,71463,95757,78845,112623,98597,104473,118400,77291,82837,81301,57443,85508,50784,86324,46014,46096,30492,6429,6756,1,52,0,0,0,0,20260603
202605,2호선,아현,7,0,4771,598,12028,5528,30365,11307,41603,20124,27428,15175,20725,13387,19945,11846,21611,13734,19343,15900,17676,16401,19423,18865,22363,21589,21641,27317,20214,35377,12934,25857,9948,19569,7822,18548,5835,17362,2448,9550,289,2357,0,6,0,0,0,0,20260603
202605,2호선,이대,6,1,3371,957,10501,7694,27551,15419,37622,43908,26400,55088,24004,43381,26242,32047,33391,36596,32575,37713,32260,29411,41336,31608,43369,32973,52634,40167,48229,49839,29209,36433,26968,27118,27340,26584,22339,26526,9087,18889,1086,4661,1,36,0,0,0,0,20260603
202605,2호선,충정로(경기대입구),19,1,3200,1142,7079,8391,15296,24703,22200,54631,16318,25936,13400,13081,13580,11841,14305,12630,14068,15063,14498,13432,15954,14503,20105,15593,34858,18720,40287,22276,15574,15357,10653,12385,9526,12120,6240,10891,2797,6835,547,1940,1,32,0,0,0,0,20260603
202605,2호선,합정,127,10,13009,3205,18136,14089,38492,31191,48836,83512,35546,80627,31148,57709,33456,55767,40910,61826,45192,66495,47304,62456,52571,63875,62637,73442,80879,89227,106936,111261,78817,76252,72778,48044,77777,39216,72609,35481,37888,25163,5521,8682,3,287,0,0,0,0,20260603
202605,2호선,홍대입구,1047,47,29075,3998,32855,19093,59555,41570,77663,109897,66451,154835,66663,134594,74878,160207,89752,182452,105157,201151,122047,192635,147949,189099,181108,193876,206222,215935,222037,239368,194268,175568,197016,122181,215131,101800,206000,83258,102568,55528,11974,19716,5,2038,0,0,0,0,20260603
202605,5호선,공덕,16,1,1818,985,6228,8700,20898,31622,31789,66832,18542,36359,15778,18682,18084,18442,19119,17352,21358,18295,20348,16465,22451,18244,27394,22144,42190,32350,56703,43912,24667,22729,20639,15992,19889,14990,15157,12958,6532,7164,811,1598,2,4,0,0,0,0,20260603
202605,5호선,마포,3,0,2780,1154,9038,7688,27229,21819,37526,67813,22543,33020,19225,17600,19211,18593,20173,16905,21355,17457,19885,16525,21146,18697,23509,22586,37686,33781,53804,42982,21768,25518,19436,18339,20290,16579,14751,14354,5879,8147,715,2048,0,0,0,0,0,0,20260603
202605,5호선,애오개,63,23,2492,926,6390,7233,20165,7900,26336,15896,14115,10721,10433,7430,10200,7093,10956,7410,10838,8834,9963,9164,11775,9849,13871,11556,13858,15857,13546,21991,7566,13916,5809,9549,4517,9341,2988,8591,1142,4716,148,2376,1,289,0,0,0,0,20260603
202605,5호선,충정로(경기대입구),5,0,1071,209,2588,2850,6316,16499,9190,33911,5425,12209,4883,4653,5693,5088,5598,4751,5828,5641,5910,5932,6843,4925,8818,5470,19536,6753,27895,9638,7598,6211,6092,4679,4895,4684,2921,4585,1391,2930,269,875,2,116,0,0,0,0,20260603
202605,6호선,공덕,188,6,4931,2415,8753,12746,21411,40083,31504,87577,24318,45523,22109,25728,24074,22754,25235,22766,26580,24281,26801,23294,31430,24703,37229,29979,56710,34957,74685,42352,35715,27984,29665,19649,26792,18746,20012,15572,9266,10954,1130,5020,0,141,0,0,0,0,20260603
202605,6호선,광흥창(서강),14,0,3132,1657,8377,6898,21338,15069,27554,30952,18676,18502,15438,12399,15866,10771,16620,12100,15294,12077,13992,12556,15466,13756,18292,14830,23970,18706,28318,24689,13961,18005,9834,12625,8803,11578,6154,11091,2607,6632,406,1763,0,2,0,0,0,0,20260603
202605,6호선,대흥(서강대앞),5,1,2506,1066,6252,5609,15968,17856,22434,33988,15935,22562,12955,25090,14078,17700,15352,17075,19242,21868,17718,16142,18998,17534,25276,19590,28834,23041,28676,29382,16219,17985,14511,11924,15183,10508,14755,9723,5953,7509,723,1856,0,1,0,0,0,0,20260603
202605,6호선,상수,85,3,7574,1635,8510,5017,10438,7034,14161,23330,11734,33803,10264,22266,11305,20420,14378,23017,15829,26031,17241,22464,19853,22707,26005,25107,29968,30269,30404,38414,24100,25704,24205,18657,27571,15878,29380,14877,20346,12507,3430,3421,0,1,0,0,0,0,20260603
202605,6호선,효창공원앞,2,0,2461,693,6031,4934,17653,7855,27663,24780,17176,14395,12652,12225,12143,10759,13238,10215,12813,11481,11977,11440,13848,11295,17086,13493,18629,15516,23374,21338,10854,14798,7716,10764,6783,9315,5488,8498,2542,5792,396,1928,0,0,0,0,0,0,20260603
202605,경의선,공덕,12,2,760,220,1982,2212,5081,7172,6377,17906,6391,7745,6733,4368,6810,4725,6831,4617,6832,4588,6836,4646,7073,5011,8848,6122,12628,7076,16262,7784,8614,5330,7819,4671,7408,4043,5813,3237,2493,2088,192,275,0,0,0,0,0,0,20260603
202605,경의선,서강대,18,0,543,110,1811,1550,3064,2682,4002,9658,3644,6411,3490,5693,3447,3948,3769,4139,4596,4007,4621,4122,4482,3995,5814,4383,7185,5199,6205,4638,4338,3915,4166,3137,4236,2772,4043,2326,1671,1489,33,254,0,0,0,0,0,0,20260603
202605,경의선,홍대입구,10,0,513,133,812,643,1196,1956,1660,6452,1807,6389,1806,5501,1992,5216,2922,7565,3375,6639,4637,7573,5039,6922,6470,7509,8131,8016,7926,7951,7121,5558,6705,3907,7023,3160,6638,2409,3066,1648,88,257,0,0,0,0,0,0,20260603
202605,경의선,효창공원앞,0,0,755,543,2195,2563,5598,4658,8243,16020,5534,8471,4563,5564,4416,4324,4596,4152,5166,4885,4820,4756,5686,4991,7079,5779,8763,6716,12451,9100,5388,6745,3925,5383,3401,4535,2600,4253,1121,2924,60,287,0,0,0,0,0,0,20260603
